No,Latitude,Longitude,Altitude,Speed,Date,Time
1,13.193595,77.649115,922.5,0.00,2016/12/11,00:37:52
2,13.193635,77.649115,922.4,1.48,2016/12/11,00:37:55
3,13.193627,77.649144,922.3,1.63,2016/12/11,00:37:57
4,13.193604,77.649128,922.4,0.77,2016/12/11,00:38:01
5,13.193616,77.649163,922.3,0.50,2016/12/11,00:38:09
6,13.193654,77.649214,922.1,3.48,2016/12/11,00:38:11
7,13.193681,77.649246,922.0,4.59,2016/12/11,00:38:12
8,13.193709,77.649281,921.8,4.91,2016/12/11,00:38:13
9,13.193747,77.649336,921.6,7.31,2016/12/11,00:38:14
10,13.193784,77.649378,921.4,6.14,2016/12/11,00:38:15
11,13.193815,77.649419,921.3,5.63,2016/12/11,00:38:16
12,13.193845,77.649463,921.2,5.82,2016/12/11,00:38:17
13,13.193874,77.649506,921.0,5.67,2016/12/11,00:38:18
14,13.193894,77.649538,920.9,4.12,2016/12/11,00:38:19
15,13.193919,77.649577,920.8,5.06,2016/12/11,00:38:20
16,13.193950,77.649621,920.8,2.94,2016/12/11,00:38:22
17,13.193963,77.649667,920.7,2.60,2016/12/11,00:38:24
18,13.193981,77.649708,920.7,1.62,2016/12/11,00:38:27
19,13.194000,77.649751,920.7,2.56,2016/12/11,00:38:29
20,13.194019,77.649784,920.7,4.16,2016/12/11,00:38:30
21,13.194036,77.649813,920.7,3.67,2016/12/11,00:38:31
22,13.194051,77.649840,920.6,3.37,2016/12/11,00:38:32
23,13.194066,77.649867,920.6,3.37,2016/12/11,00:38:33
24,13.194080,77.649892,920.6,3.13,2016/12/11,00:38:34
25,13.194110,77.649936,920.6,2.91,2016/12/11,00:38:36
26,13.194140,77.649985,920.5,3.14,2016/12/11,00:38:38
27,13.194156,77.650019,920.5,4.09,2016/12/11,00:38:39
28,13.194172,77.650058,920.5,4.59,2016/12/11,00:38:40
29,13.194192,77.650100,920.5,5.07,2016/12/11,00:38:41
30,13.194216,77.650158,920.4,6.83,2016/12/11,00:38:42
31,13.194234,77.650202,920.4,5.17,2016/12/11,00:38:43
32,13.194259,77.650245,920.4,5.43,2016/12/11,00:38:44
33,13.194278,77.650288,920.4,5.12,2016/12/11,00:38:45
34,13.194294,77.650335,920.3,5.40,2016/12/11,00:38:46
35,13.194312,77.650382,920.3,5.47,2016/12/11,00:38:47
36,13.194329,77.650429,920.3,5.43,2016/12/11,00:38:48
37,13.194350,77.650477,920.1,5.70,2016/12/11,00:38:49
38,13.194380,77.650531,919.9,6.74,2016/12/11,00:38:50
39,13.194407,77.650578,919.7,5.91,2016/12/11,00:38:51
40,13.194442,77.650629,919.4,6.76,2016/12/11,00:38:52
